"iweek","start_date","end_date"
807,2015-08-10,2015-08-16
808,2015-08-17,2015-08-23
809,2015-08-24,2015-08-30
810,2015-08-31,2015-09-06
811,2015-09-07,2015-09-13
812,2015-09-14,2015-09-20
813,2015-09-21,2015-09-27
814,2015-09-28,2015-10-04
815,2015-10-05,2015-10-11
816,2015-10-12,2015-10-18
817,2015-10-19,2015-10-25
818,2015-10-26,2015-11-01
819,2015-11-02,2015-11-08
820,2015-11-09,2015-11-15
821,2015-11-16,2015-11-22
822,2015-11-23,2015-11-29
823,2015-11-30,2015-12-06
824,2015-12-07,2015-12-13
825,2015-12-14,2015-12-20
826,2015-12-21,2015-12-27
827,2015-12-28,2016-01-03
828,2016-01-04,2016-01-10
829,2016-01-11,2016-01-17
830,2016-01-18,2016-01-24
831,2016-01-25,2016-01-31
832,2016-02-01,2016-02-07
833,2016-02-08,2016-02-14
834,2016-02-15,2016-02-21
835,2016-02-22,2016-02-28
836,2016-02-29,2016-03-06
837,2016-03-07,2016-03-13
838,2016-03-14,2016-03-20
839,2016-03-21,2016-03-27
840,2016-03-28,2016-04-03
841,2016-04-04,2016-04-10
842,2016-04-11,2016-04-17
843,2016-04-18,2016-04-24
844,2016-04-25,2016-05-01
845,2016-05-02,2016-05-08
846,2016-05-09,2016-05-15
847,2016-05-16,2016-05-22
848,2016-05-23,2016-05-29
849,2016-05-30,2016-06-05
850,2016-06-06,2016-06-12
851,2016-06-13,2016-06-19
852,2016-06-20,2016-06-26
853,2016-06-27,2016-07-03
854,2016-07-04,2016-07-10
855,2016-07-11,2016-07-17
856,2016-07-18,2016-07-24
857,2016-07-25,2016-07-31
858,2016-08-01,2016-08-07
859,2016-08-08,2016-08-14
860,2016-08-15,2016-08-21
861,2016-08-22,2016-08-28
862,2016-08-29,2016-09-04
863,2016-09-05,2016-09-11
864,2016-09-12,2016-09-18
865,2016-09-19,2016-09-25
866,2016-09-26,2016-10-02
867,2016-10-03,2016-10-09
868,2016-10-10,2016-10-16
869,2016-10-17,2016-10-23
870,2016-10-24,2016-10-30
871,2016-10-31,2016-11-06
872,2016-11-07,2016-11-13
873,2016-11-14,2016-11-20
874,2016-11-21,2016-11-27
875,2016-11-28,2016-12-04
876,2016-12-05,2016-12-11
877,2016-12-12,2016-12-18
878,2016-12-19,2016-12-25
879,2016-12-26,2017-01-01
880,2017-01-02,2017-01-08
881,2017-01-09,2017-01-15
882,2017-01-16,2017-01-22
883,2017-01-23,2017-01-29
884,2017-01-30,2017-02-05
885,2017-02-06,2017-02-12
886,2017-02-13,2017-02-19
887,2017-02-20,2017-02-26
888,2017-02-27,2017-03-05
889,2017-03-06,2017-03-12
890,2017-03-13,2017-03-19
891,2017-03-20,2017-03-26
892,2017-03-27,2017-04-02
893,2017-04-03,2017-04-09
894,2017-04-10,2017-04-16
895,2017-04-17,2017-04-23
896,2017-04-24,2017-04-30
897,2017-05-01,2017-05-07
898,2017-05-08,2017-05-14
899,2017-05-15,2017-05-21
900,2017-05-22,2017-05-28
901,2017-05-29,2017-06-04
902,2017-06-05,2017-06-11
903,2017-06-12,2017-06-18
904,2017-06-19,2017-06-25
905,2017-06-26,2017-07-02
906,2017-07-03,2017-07-09
907,2017-07-10,2017-07-16
908,2017-07-17,2017-07-23
909,2017-07-24,2017-07-30
910,2017-07-31,2017-08-06
911,2017-08-07,2017-08-13
912,2017-08-14,2017-08-20
913,2017-08-21,2017-08-27
914,2017-08-28,2017-09-03
915,2017-09-04,2017-09-10
916,2017-09-11,2017-09-17
917,2017-09-18,2017-09-24
918,2017-09-25,2017-10-01
919,2017-10-02,2017-10-08
920,2017-10-09,2017-10-15
921,2017-10-16,2017-10-22
922,2017-10-23,2017-10-29
923,2017-10-30,2017-11-05
924,2017-11-06,2017-11-12
925,2017-11-13,2017-11-19
926,2017-11-20,2017-11-26
927,2017-11-27,2017-12-03
928,2017-12-04,2017-12-10
929,2017-12-11,2017-12-17
930,2017-12-18,2017-12-24
931,2017-12-25,2017-12-31
